C_ID,Q_Agent_Time,First_Path,Did_Queue,Queue_Length
298,0.0,Agent,True,0
299,0.0,Agent,True,0
300,0.0,Agent,True,0
301,0.0,Agent,True,0
302,0.0,Agent,True,0
303,0.0,Agent,True,0
304,0.0,Agent,True,0
305,0.0,Agent,True,0
306,0.0,Agent,True,0
307,0.0,Agent,True,0
308,2.961485460979816,Agent,True,0
309,2.982737681475861,Agent,True,1
310,2.9537727332729986,Agent,True,2
311,3.422185892006162,Agent,True,3
312,3.2599201840669707,Agent,True,4
313,3.504085118781653,Agent,True,5
314,3.475535579001729,Agent,True,6
315,3.144771421459666,Agent,True,7
316,2.853450481152805,Agent,True,8
317,3.5210367839976655,Agent,True,9
318,3.619230105840053,Agent,True,10
319,3.457625512884327,Agent,True,11
320,3.5217813432015603,Agent,True,12
321,3.6429710717644994,Agent,True,13
322,3.166121590786659,Agent,True,14
323,2.846360596149985,Agent,True,12
324,2.8345800048810545,Agent,True,13
325,2.8215282140631643,Agent,True,14
326,2.2844685445216797,Agent,True,11
327,2.4159126683089553,Agent,True,12
328,2.3079114199228883,Agent,True,12
329,2.370616605302999,Agent,True,12
330,2.2723924758334064,Agent,True,13
331,2.0078187942687933,Agent,True,14
332,2.1088375250048372,Agent,True,15
333,2.027247334069493,Agent,True,15
334,1.9442212892924786,Agent,True,16
335,1.9784972917932535,Agent,True,15
336,1.8875565399848284,Agent,True,15
338,1.7499713960669112,Agent,True,14
339,1.9750378962606518,Agent,True,13
340,1.9505891562033284,Agent,True,14
342,1.2291072417698956,Agent,True,10
343,1.5188487093146108,Agent,True,9
344,1.2450448986946725,Agent,True,4
345,1.0887007239142008,Agent,True,5
346,0.9536305645501386,Agent,True,5
348,1.0668100004116496,Agent,True,5
350,1.0604265707427203,Agent,True,5
351,1.058482517984828,Agent,True,6
352,0.9368416630677672,Agent,True,7
353,0.8625335034082866,Agent,True,6
354,0.9645653624984334,Agent,True,7
355,1.0249485984505071,Agent,True,8
356,0.6281578134246502,Agent,True,6
357,0.41629390134508526,Agent,True,4
358,0.390141743791915,Agent,True,0
359,0.42667151653449764,Agent,True,1
360,0.452607047253224,Agent,True,2
361,0.47767241496632096,Agent,True,3
362,0.042491441008721154,Agent,True,0
363,0.3681103477088641,Agent,True,1
364,0.8831393125081064,Agent,True,2
365,0.5742523419249608,Agent,True,1
366,0.14430955916053279,Agent,True,1
367,0.13089474385567712,Agent,True,1
368,0.204902201215873,Agent,True,1
369,0.0,Agent,True,0
370,0.11525899434154496,Agent,True,0
371,0.07145209939980646,Agent,True,1
372,0.1495488100548812,Agent,True,2
373,0.22339683600705484,Agent,True,0
374,0.04515154118506359,Agent,True,0
375,0.044162712065556775,Agent,True,1
376,0.16710015741435313,Agent,True,0
377,0.0,Agent,True,0
378,0.0,Agent,True,0
379,0.0,Agent,True,0
380,0.0,Agent,True,0
381,0.0,Agent,True,0
382,0.0,Agent,True,0
383,0.0,Agent,True,0
384,0.0,Agent,True,0
385,0.0,Agent,True,0
289,0.0,Bot,True,0
386,0.0,Agent,True,0
387,0.0,Agent,True,0
388,0.0,Agent,True,0
389,0.0,Agent,True,0
390,0.0,Agent,True,0
391,0.0,Agent,True,0
392,0.0,Agent,True,0
393,0.0,Agent,True,0
394,0.032201081498811845,Agent,True,0
395,0.050510529311196706,Agent,True,0
397,0.0,Agent,True,0
398,0.0,Agent,True,0
399,0.0,Agent,True,0
400,0.0,Agent,True,0
401,0.0,Agent,True,0
402,0.0,Agent,True,0
403,0.0,Agent,True,0
404,0.0,Agent,True,0
405,0.09219257137476689,Agent,True,0
407,0.11681352599777028,Agent,True,0
408,0.23186993306465808,Agent,True,0
409,0.1668176881996004,Agent,True,1
410,0.21994094913078754,Agent,True,2
411,0.05298602919576467,Agent,True,1
413,0.0,Agent,True,0
414,2.787196355795629,Agent,True,0
415,2.9104927757752677,Agent,True,1
416,2.9038524048099106,Agent,True,2
417,3.2569029407954133,Agent,True,3
418,3.2055124249875746,Agent,True,4
419,3.4592639568935653,Agent,True,5
420,3.4485205906490535,Agent,True,6
421,3.7678837151778453,Agent,True,7
422,3.814402176336344,Agent,True,8
424,3.5644867332046317,Agent,True,9
425,3.711070919220745,Agent,True,10
426,3.612007768479714,Agent,True,11
427,3.5949553644787073,Agent,True,12
337,,Bot,False,
428,3.5244264024524483,Agent,True,13
429,3.4794085189038526,Agent,True,14
430,3.518267598538401,Agent,True,15
431,3.4577447090668727,Agent,True,16
432,3.332472578956697,Agent,True,16
433,3.451719628166117,Agent,True,15
434,3.3238517934681084,Agent,True,16
435,2.9554699177998884,Agent,True,15
436,3.1033627958493355,Agent,True,16
437,2.9496457090209987,Agent,True,15
438,3.0233563536484525,Agent,True,16
439,3.1126400339593943,Agent,True,17
440,3.0176328733507347,Agent,True,18
441,3.00685318591421,Agent,True,19
442,3.059879819144925,Agent,True,20
443,3.023393948989451,Agent,True,19
444,2.936116282071694,Agent,True,20
445,3.1969833383637365,Agent,True,21
446,3.2226187557707533,Agent,True,22
347,,Bot,False,
447,3.233471824618391,Agent,True,23
448,3.486895055479792,Agent,True,23
449,3.5339017533606096,Agent,True,24
450,3.446940410622531,Agent,True,22
451,3.210232238418115,Agent,True,21
452,3.4713806552377804,Agent,True,22
453,3.103353507988686,Agent,True,21
455,3.1224928398047496,Agent,True,22
341,3.003159116380772,Bot,True,22
456,3.237673220684684,Agent,True,23
457,3.2721953416710647,Agent,True,23
458,3.324374713559905,Agent,True,24
459,3.30047495951996,Agent,True,25
460,3.3490852585993736,Agent,True,26
461,3.8043350514486036,Agent,True,27
463,3.817803268453247,Agent,True,26
465,3.7409086777860807,Agent,True,25
466,3.609040024630062,Agent,True,22
467,3.821233282604254,Agent,True,22
468,4.051417139513589,Agent,True,22
469,4.439435486264003,Agent,True,22
471,4.202935524798221,Agent,True,22
349,4.151931417422844,Bot,True,22
472,4.202087757191848,Agent,True,22
473,4.313467426138729,Agent,True,23
474,4.424563978195337,Agent,True,24
475,4.550852893411175,Agent,True,25
476,4.614120893491432,Agent,True,26
477,4.670337176526104,Agent,True,27
478,4.753589973861281,Agent,True,28
479,4.792637811244006,Agent,True,29
480,4.74317613556498,Agent,True,29
483,4.144283693025685,Agent,True,23
484,4.482081377808527,Agent,True,24
485,4.681019201866079,Agent,True,22
486,4.694317085866146,Agent,True,21
487,5.264616996666106,Agent,True,22
488,5.320075777118944,Agent,True,22
489,4.74206630782102,Agent,True,19
490,4.542735154906353,Agent,True,19
491,4.646375366624184,Agent,True,20
493,4.278255173546555,Agent,True,20
494,4.302799732662663,Agent,True,19
495,3.8335193395556786,Agent,True,17
496,3.8067044607906553,Agent,True,16
497,3.758775030346584,Agent,True,16
498,3.713505424484481,Agent,True,14
499,3.89660284808987,Agent,True,15
500,3.3674952307089683,Agent,True,15
501,3.2675392998041417,Agent,True,15
503,3.0766662161777845,Agent,True,16
504,2.9840773391521367,Agent,True,16
